definition1,sensekey1,relation,sensekey2,definition2
make a tuck or several folds in,tuck%2:35:01::,agent,tucker%1:18:00::,a sewer who tucks
draw together into folds or puckers,tuck%2:35:03::,result,tuck%1:06:00::,a narrow flattened pleat or fold that is stitched in place
draw together into folds or puckers,tuck%2:35:03::,agent,tucker%1:18:00::,a sewer who tucks
pull hard,tug%2:35:00::,event,tug%1:04:00::,a sudden abrupt pull
pull hard,tug%2:35:00::,agent,tugger%1:18:00::,someone who pulls or tugs or drags in an effort to move something
pull or strain hard at,tug%2:35:01::,event,tug%1:04:00::,a sudden abrupt pull
move by pulling hard,tug%2:35:02::,event,tug%1:04:00::,a sudden abrupt pull
move by pulling hard,tug%2:35:02::,agent,tugger%1:18:00::,someone who pulls or tugs or drags in an effort to move something
tow (a vessel) with a tug,tug%2:35:04::,by means of,tug%1:06:00::,a powerful small boat designed to pull or push larger ships
tow (a vessel) with a tug,tug%2:35:04::,agent,tugger%1:18:00::,someone who pulls or tugs or drags in an effort to move something
"do gymnastics, roll and turn skillfully",tumble%2:29:00::,event,tumble%1:04:00::,an acrobatic feat of rolling or turning end over end
"do gymnastics, roll and turn skillfully",tumble%2:29:00::,agent,tumbler%1:18:00::,a gymnast who performs rolls and somersaults and twists etc.
fall suddenly and sharply,tumble%2:30:00::,event,tumble%1:04:01::,a sudden drop from an upright position
"fall down, as if collapsing",tumble%2:38:00::,event,tumble%1:04:01::,a sudden drop from an upright position
"roll over and over, back and forth",tumble%2:38:04::,agent,tumbler%1:05:00::,pigeon that executes backward somersaults in flight or on the ground
"roll over and over, back and forth",tumble%2:38:04::,undergoer,tumbler%1:06:01::,a movable obstruction in a lock that must be adjusted to a given position (as by a key) before the bolt can be thrown
cause to topple or tumble by pushing,tumble%2:38:06::,event,tumble%1:04:01::,a sudden drop from an upright position
expand abnormally,tumefy%2:30:00::,event,tumefaction%1:22:00::,the process of tumefying; the organic process whereby tissue becomes swollen by the accumulation of fluid within it
cause to become very swollen,tumefy%2:30:01::,event,tumefaction%1:22:00::,the process of tumefying; the organic process whereby tissue becomes swollen by the accumulation of fluid within it
adjust the pitches of (musical instruments),tune%2:30:00::,property,tune%1:07:00::,the property of producing accurately a note of a given pitch
force a way through,tunnel%2:35:00::,result,tunnel%1:06:00::,"a passageway through or under something, usually underground (especially one for trains or cars)"
move through by or as by digging,tunnel%2:38:00::,result,tunnel%1:17:00::,"a hole made by an animal, usually for shelter"
change to the contrary,turn%2:30:00::,event,turn%1:11:00::,a movement in a new direction
"pass into a condition gradually, take on a specific property or attribute; become",turn%2:30:03::,event,turn%1:11:01::,an unforeseen development
undergo a transformation or a change of position or action,turn%2:30:04::,event,turn%1:11:01::,an unforeseen development
shape by rotating on a lathe or cutting device or a wheel,turn%2:35:06::,agent,turner%1:18:01::,a lathe operator
to change orientation or direction,turn%2:38:00::,event,turn%1:04:01::,the act of changing or reversing the direction of the course
to change orientation or direction,turn%2:38:00::,event,turn%1:04:02::,the act of turning away or in the opposite direction
to change orientation or direction,turn%2:38:00::,event,turn%1:11:00::,a movement in a new direction
cause to move around a center so as to show another side of,turn%2:38:01::,instrument,turner%1:06:00::,cooking utensil having a flat flexible part and a long handle; used for turning or serving food
cause to move around or rotate,turn%2:38:02::,event,turn%1:04:07::,turning or twisting around (in place)
cause to move around or rotate,turn%2:38:02::,event,turn%1:11:00::,a movement in a new direction
pass to the other side of,turn%2:38:03::,event,turn%1:11:00::,a movement in a new direction
accomplish by rotating,turn%2:41:10::,agent,turner%1:18:02::,a tumbler who is a member of a turnverein
undergo a change or development,turn%2:42:00::,event,turn%1:11:01::,an unforeseen development
"turn abruptly and face the other way, either physically or metaphorically",turn_around%2:38:00::,event,turn_around%1:11:00::,turning in an opposite direction or position
turn from an upright or normal position,turn_over%2:38:00::,event,turnover%1:04:00::,the act of upsetting something
cause to overturn from an upright or normal position,turn_over%2:38:02::,event,turnover%1:04:00::,the act of upsetting something
do business worth a certain amount of money,turn_over%2:40:01::,result,turnover%1:07:00::,the volume measured in dollars
"hunt for turtles, especially as an occupation",turtle%2:33:00::,agent,turtler%1:18:00::,someone whose occupation is hunting turtles
remove the tusks of animals,tusk%2:30:00::,undergoer,tusk%1:05:00::,a long pointed tooth specialized for fighting or digging; especially in an elephant or walrus or hog
remove the tusks of animals,tusk%2:30:00::,undergoer,tusk%1:27:00::,a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses
stab or pierce with a horn or tusk,tusk%2:35:00::,instrument,tusk%1:05:00::,a long pointed tooth specialized for fighting or digging; especially in an elephant or walrus or hog
stab or pierce with a horn or tusk,tusk%2:35:00::,instrument,tusk%1:27:00::,a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses
fight or struggle in a confused way at close quarters,tussle%2:35:01::,event,tussle%1:04:00::,disorderly fighting
speak (about unimportant matters) rapidly and incessantly,twaddle%2:32:00::,event,twaddle%1:10:00::,pretentious or silly talk or writing
speak (about unimportant matters) rapidly and incessantly,twaddle%2:32:00::,agent,twaddler%1:18:00::,someone who twaddles; someone who writes or talks twaddle
pronounce with a nasal twang,twang%2:32:00::,property,twang%1:07:00::,exaggerated nasality in speech (as in some regional dialects)
pluck (strings of an instrument),twang%2:35:00::,event,twang%1:11:00::,a sharp vibrating sound (as of a plucked string)
sound with a twang,twang%2:39:00::,event,twang%1:11:00::,a sharp vibrating sound (as of a plucked string)
cause to sound with a twang,twang%2:39:01::,event,twang%1:11:00::,a sharp vibrating sound (as of a plucked string)
pull or pull out sharply,tweak%2:35:00::,event,tweak%1:04:00::,a squeeze with the fingers
pinch or squeeze sharply,tweak%2:35:01::,event,tweak%1:04:00::,a squeeze with the fingers
"make a weak, chirping sound",tweet%2:39:00::,event,tweet%1:11:00::,a weak chirping sound as of a small bird
"make a weak, chirping sound",tweet%2:39:00::,instrument,tweeter%1:06:00::,a loudspeaker that reproduces higher audio frequency sounds
pluck with tweezers,tweeze%2:35:00::,instrument,tweezer%1:06:00::,a hand tool for holding consisting of a compound lever for grasping
"manipulate, as in a nervous or unconscious manner",twiddle%2:35:00::,agent,twiddler%1:18:00::,someone who manipulates in a nervous or unconscious manner
turn in a twisting or spinning motion,twiddle%2:38:00::,event,twiddle%1:04:00::,a series of small (usually idle) twists or turns
branch out in a twiglike manner,twig%2:30:00::,result,twig%1:20:00::,a small branch or division of a branch (especially a terminal division); usually applied to branches of the current or preceding year
weave diagonal lines into (textiles),twill%2:36:00::,result,twill%1:06:00::,a cloth with parallel diagonal lines or ribs
weave diagonal lines into (textiles),twill%2:36:00::,result,twill%1:06:01::,a weave used to produce the effect of parallel diagonal ribs
give birth to twins,twin%2:29:00::,result,twin%1:18:00::,either of two offspring born at the same time from the same pregnancy
duplicate or match,twin%2:42:00::,result,twin%1:06:00::,a duplicate copy
"spin, wind, or twist together",twine%2:35:00::,result,twine%1:06:00::,a lightweight cord
"spin, wind, or twist together",twine%2:35:00::,agent,twiner%1:18:00::,someone who intertwines (e.g. threads) or forms something by twisting or interlacing
make by twisting together or intertwining,twine%2:35:01::,agent,twiner%1:18:00::,someone who intertwines (e.g. threads) or forms something by twisting or interlacing
cause a stinging pain,twinge%2:39:00::,event,twinge%1:09:00::,a sharp stab of pain
"feel a sudden sharp, local pain",twinge%2:39:01::,event,twinge%1:09:00::,a sharp stab of pain
gleam or glow intermittently,twinkle%2:39:00::,event,twinkle%1:11:00::,a rapid change in brightness; a brief spark or flash
gleam or glow intermittently,twinkle%2:39:00::,by means of,twinkler%1:17:00::,an object that emits or reflects light in an intermittent flickering manner
emit or reflect light in a flickering manner,twinkle%2:43:00::,event,twinkle%1:11:00::,a rapid change in brightness; a brief spark or flash
emit or reflect light in a flickering manner,twinkle%2:43:00::,by means of,twinkler%1:17:00::,an object that emits or reflects light in an intermittent flickering manner
turn in a twisting or spinning motion,twirl%2:38:00::,event,twirl%1:04:00::,the act of rotating rapidly
turn in a twisting or spinning motion,twirl%2:38:00::,agent,twirler%1:18:00::,(baseball) the person who does the pitching
cause to spin,twirl%2:38:01::,event,twirl%1:04:00::,the act of rotating rapidly
cause to spin,twirl%2:38:01::,agent,twirler%1:18:01::,someone who twirls a baton
twist suddenly so as to sprain,twist%2:29:00::,event,twist%1:26:00::,a sharp strain on muscles or ligaments
form into twists,twist%2:30:00::,result,twist%1:08:00::,a hairdo formed by braiding or twisting the hair
practice sophistry; change the meaning of or be vague about in order to mislead or deceive,twist%2:32:00::,event,twist%1:10:00::,an interpretation of a text or action
turn in the opposite direction,twist%2:35:00::,event,twist%1:04:02::,the act of rotating rapidly
form into a spiral shape,twist%2:35:01::,event,twist%1:25:00::,a sharp bend in a line produced when a line having a loop is pulled tight
"twist or pull violently or suddenly, especially so as to remove (something) from that to which it is attached or from where it originates",twist%2:35:06::,event,twist%1:04:02::,the act of rotating rapidly
"twist or pull violently or suddenly, especially so as to remove (something) from that to which it is attached or from where it originates",twist%2:35:06::,event,twist%1:11:02::,a jerky pulling movement
"to move in a twisting or contorted motion, (especially when struggling)",twist%2:38:01::,event,twist%1:11:02::,a jerky pulling movement
"to move in a twisting or contorted motion, (especially when struggling)",twist%2:38:01::,event,twister%1:19:00::,a localized and violently destructive windstorm occurring over land characterized by a funnel-shaped cloud extending toward the ground
do the twist,twist%2:38:02::,event,twist%1:04:00::,social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
harass with persistent criticism or carping,twit%2:32:00::,event,twit%1:04:00::,aggravation by deriding or mocking or criticizing
"make an uncontrolled, short, jerky motion",twitch%2:29:00::,event,twitch%1:26:00::,a sudden muscle spasm; especially one caused by a nervous condition
"move with abrupt, seemingly uncontrolled motions",twitch%2:38:01::,event,twitch%1:26:00::,a sudden muscle spasm; especially one caused by a nervous condition
"make high-pitched sounds, as of birds",twitter%2:32:00::,event,twitter%1:11:00::,a series of chirps
"make high-pitched sounds, as of birds",twitter%2:32:00::,agent,twitter%1:11:00::,a series of chirps
"make high-pitched sounds, as of birds",twitter%2:32:00::,agent,twitterer%1:05:00::,a bird that twitters
identify as belonging to a certain type,type%2:31:00::,event,type%1:09:00::,a subdivision of a particular kind of thing
identify as belonging to a certain type,type%2:31:00::,agent,type%1:18:00::,a person of a specified kind (usually with many eccentricities)
write by means of a keyboard with types,type%2:32:00::,by means of,type%1:06:00::,a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper
write by means of a keyboard with types,type%2:32:00::,result,type%1:10:01::,printed characters
set in type,typeset%2:36:00::,agent,typesetter%1:18:00::,one who sets written material into type
write by means of a keyboard with types,typewrite%2:32:00::,instrument,typewriter%1:06:00::,hand-operated character printer for printing written messages one character at a time
"express indirectly by an image, form, or model; be a symbol",typify%2:32:00::,event,typification%1:04:00::,the act of representing by a type or symbol; the action of typifying
embody the essential characteristics of or be a typical example of,typify%2:42:00::,agent,type%1:18:00::,a person of a specified kind (usually with many eccentricities)
embody the essential characteristics of or be a typical example of,typify%2:42:00::,result,typification%1:09:00::,a representational or typifying form or model
embody the essential characteristics of or be a typical example of,typify%2:42:00::,event,typification%1:09:00::,a representational or typifying form or model
undergo ulceration,ulcerate%2:30:00::,event,ulceration%1:22:00::,the process of ulcer formation; the process of becoming ulcerated
subject to the action of an ultracentrifuge,ultracentrifuge%2:38:00::,event,ultracentrifugation%1:22:00::,centrifugation at very high speeds
emit long loud cries,ululate%2:32:00::,event,ululation%1:10:00::,a long loud emotional utterance
be a referee or umpire in a sports competition,umpire%2:33:00::,agent,umpire%1:18:00::,an official at a baseball game
"derange mentally, throw out of mental balance; make insane",unbalance%2:37:00::,result,unbalance%1:26:01::,a state of mental disturbance and disorientation
perform less well or with less success than expected,underachieve%2:41:00::,event,underachievement%1:04:00::,poorer than expected performance (poorer than might have been predicted from intelligence tests)
perform less well or with less success than expected,underachieve%2:41:00::,agent,underachiever%1:18:00::,a student who does not perform as well as expected or as well as the IQ indicates
charge (someone) too little money,undercharge%2:40:00::,undergoer,undercharge%1:21:00::,a price that is too low
cover with a primer; apply a primer to,undercoat%2:35:00::,uses,undercoat%1:06:01::,the first or preliminary coat of paint or size applied to a surface
cover with a primer; apply a primer to,undercoat%2:35:00::,uses,undercoat%1:06:02::,seal consisting of a coating of a tar or rubberlike material on the underside of a motor vehicle to retard corrosion
"strike (the ball) in golf, tennis, or hockey obliquely downward so as to give a backspin or elevation to the shot",undercut%2:35:00::,event,undercut%1:04:00::,(sports) a stroke that puts reverse spin on the ball
cut away the underpart of,undercut%2:35:01::,event,undercut%1:04:01::,a cut made underneath to remove material
cut away the underpart of,undercut%2:35:01::,undergoer,undercut%1:27:00::,the material removed by a cut made underneath
cut away material from the underside of (an object) so as to leave an overhanging portion in relief,undercut%2:35:02::,event,undercut%1:04:01::,a cut made underneath to remove material
cut away material from the underside of (an object) so as to leave an overhanging portion in relief,undercut%2:35:02::,undergoer,undercut%1:27:00::,the material removed by a cut made underneath
cut obliquely into (a tree) below the main cut and on the side toward which the tree will fall,undercut%2:35:03::,event,undercut%1:06:00::,a notch cut in the trunk of tree in order to determine the direction of its fall
process (a film or photographic plate) less than the required time or in an ineffective solution or at an insufficiently high temperature,underdevelop%2:39:00::,event,underdevelopment%1:22:00::,(photography) inadequate processing of film resulting in inadequate contrast
make a deliberately low estimate,underestimate%2:31:00::,event,underestimate%1:09:00::,an estimation that is too low; an estimate that is less than the true or actual value
make a deliberately low estimate,underestimate%2:31:00::,event,underestimation%1:09:00::,an estimation that is too low; an estimate that is less than the true or actual value
make too low an estimate of,underestimate%2:31:01::,event,underestimation%1:09:00::,an estimation that is too low; an estimate that is less than the true or actual value
assign too low a value to,underestimate%2:31:02::,uses,underestimate%1:09:00::,an estimation that is too low; an estimate that is less than the true or actual value
assign too low a value to,underestimate%2:31:02::,event,underestimation%1:09:00::,an estimation that is too low; an estimate that is less than the true or actual value
draw a line or lines underneath to call attention to,underline%2:32:03::,event,underline%1:10:00::,a line drawn underneath (especially under written matter)
provide with insufficient quality or quantity of nourishment,undernourish%2:34:00::,state,undernourishment%1:26:00::,not having enough food to develop or function normally
pay too little,underpay%2:40:00::,event,underpayment%1:04:00::,the act of paying less than required
perform less well or with less success than expected,underperform%2:41:00::,agent,underperformer%1:14:00::,a business that is less successful than expected
perform less well or with less success than expected,underperform%2:41:00::,agent,underperformer%1:18:00::,a student who does not perform as well as expected or as well as the IQ indicates
produce below capacity or demand,underproduce%2:36:00::,event,underproduction%1:04:00::,inadequate production or less than expected
draw a line or lines underneath to call attention to,underscore%2:32:03::,event,underscore%1:10:00::,a line drawn underneath (especially under written matter)
sell cheaper than one's competition,undersell%2:40:00::,agent,underseller%1:18:00::,a seller that sells at a lower price than others do
represent as less significant or important,understate%2:32:00::,event,understatement%1:10:00::,a statement that is restrained in ironic contrast to what might have been said
be an understudy or alternate for a role,understudy%2:31:00::,agent,understudy%1:18:00::,an actor able to replace a regular performer when required
assign too low a value to,undervalue%2:31:00::,undergoer,undervaluation%1:09:00::,too low a value or price assigned to something
esteem lightly,undervalue%2:31:01::,result,undervaluation%1:09:00::,too low a value or price assigned to something
protect by insurance,underwrite%2:32:00::,agent,underwriter%1:14:00::,a financial institution that sells insurance
protect by insurance,underwrite%2:32:00::,agent,underwriter%1:18:01::,an agent who sells insurance
cause to become loose,undo%2:35:01::,agent,undoer%1:18:01::,a person who unfastens or unwraps or opens
remove the outer cover or wrapping of,undo%2:35:03::,agent,undoer%1:18:01::,a person who unfastens or unwraps or opens
cause the ruin or downfall of,undo%2:41:00::,agent,undoer%1:18:00::,a person who destroys or ruins or lays waste to
cause the ruin or downfall of,undo%2:41:00::,agent,undoer%1:18:02::,a seducer who ruins a woman
get undressed,undress%2:29:00::,event,undress%1:26:00::,partial or complete nakedness
remove (someone's or one's own) clothes,undress%2:30:00::,event,undress%1:26:00::,partial or complete nakedness
move in a wavy pattern or with a rising and falling motion,undulate%2:38:00::,event,undulation%1:11:00::,(physics) a movement up and down or back and forth
move in a wavy pattern or with a rising and falling motion,undulate%2:38:00::,event,undulation%1:11:01::,wavelike motion; a gentle rising and falling in the manner of waves
cause to become undone,unfasten%2:35:01::,agent,unfastener%1:18:00::,a person who unfastens or unwraps or opens
provide with uniforms,uniform%2:40:00::,uses,uniform%1:06:00::,clothing of distinctive design worn by members of a particular group as a means of identification
become one,unify%2:30:00::,event,unification%1:04:00::,the act of making or becoming a single unit
become one,unify%2:30:00::,event,unification%1:11:00::,an occurrence that involves the production of a union
become one,unify%2:30:00::,result,unit%1:03:00::,an assemblage of parts that is regarded as a single entity
become one,unify%2:30:00::,result,unit%1:09:00::,a single undivided whole
join or combine,unify%2:30:01::,event,unification%1:11:00::,an occurrence that involves the production of a union
to bring or combine together or with something else,unify%2:35:00::,result,unit%1:03:00::,an assemblage of parts that is regarded as a single entity
act in concert or unite in a common purpose or belief,unify%2:41:00::,event,unification%1:04:00::,the act of making or becoming a single unit
form or join a union,unionise%2:41:00::,event,unionisation%1:04:00::,act of forming labor unions
recruit for a union or organize into a union,unionise%2:41:01::,event,unionisation%1:04:00::,act of forming labor unions
form or join a union,unionize%2:41:00::,result,union%1:14:01::,an organization of employees formed to bargain with the employer
form or join a union,unionize%2:41:00::,event,unionization%1:04:00::,act of forming labor unions
recruit for a union or organize into a union,unionize%2:41:01::,result,union%1:14:01::,an organization of employees formed to bargain with the employer
recruit for a union or organize into a union,unionize%2:41:01::,event,unionization%1:04:00::,act of forming labor unions
become one,unite%2:30:00::,event,union%1:04:00::,the act of making or becoming a single unit
make into a unit,unitise%2:35:00::,event,unitisation%1:04:02::,the act of packaging cargo into unit loads
make into a unit,unitize%2:35:00::,event,unitization%1:04:02::,the act of packaging cargo into unit loads
become undone,unravel%2:30:01::,agent,unraveller%1:18:00::,a person who removes tangles; someone who takes something out of a tangled state
become or cause to become undone by separating the fibers or threads of,unravel%2:35:00::,agent,unraveler%1:18:00::,a person who removes tangles; someone who takes something out of a tangled state
disentangle,unravel%2:35:01::,agent,unraveler%1:18:00::,a person who removes tangles; someone who takes something out of a tangled state
disentangle,unravel%2:35:01::,agent,unraveller%1:18:00::,a person who removes tangles; someone who takes something out of a tangled state
remove the sanctification from or make unsanctified,unsanctify%2:30:00::,result,unsanctification%1:07:00::,unholiness by virtue of being profane
undo the ties of,untie%2:35:00::,agent,untier%1:18:00::,a person who unfastens or unwraps or opens
cause to become loose,untie%2:35:01::,agent,untier%1:18:00::,a person who unfastens or unwraps or opens
express criticism towards,upbraid%2:32:00::,agent,upbraider%1:18:00::,someone who finds fault or imputes blame
bring up to date; supply with recent information,update%2:32:00::,event,update%1:10:00::,information or data that updates
to improve what was old or outdated,upgrade%2:30:00::,undergoer,upgrade%1:06:00::,hardware that provides better performance than an earlier version did
to improve what was old or outdated,upgrade%2:30:00::,undergoer,upgrade%1:10:00::,software that provides better performance than an earlier version did
give better travel conditions to,upgrade%2:30:04::,event,upgrade%1:09:00::,a reservation that is improved
get better travel conditions,upgrade%2:30:05::,event,upgrade%1:09:00::,a reservation that is improved
lift forcefully from beneath,upheave%2:35:00::,event,upheaval%1:11:00::,(geology) a rise of land to a higher elevation (as in the process of mountain building)
support against an opponent,uphold%2:32:02::,agent,upholder%1:18:00::,someone who upholds or maintains
keep or maintain in unaltered condition; cause to remain or last,uphold%2:42:00::,agent,upholder%1:18:00::,someone who upholds or maintains
"provide furniture with padding, springs, webbing, and covers",upholster%2:40:00::,agent,upholsterer%1:18:00::,a craftsman who upholsters furniture
lift up or elevate,uplift%2:38:00::,by means of,uplift%1:06:00::,a brassiere that lifts and supports the breasts
"lift up from the earth, as by geologic forces",uplift%2:38:02::,event,uplift%1:11:00::,(geology) a rise of land to a higher elevation (as in the process of mountain building)
"destroy completely, as if down to the roots",uproot%2:36:00::,agent,uprooter%1:18:00::,a person who destroys or ruins or lays waste to
defeat suddenly and unexpectedly,upset%2:33:00::,event,upset%1:04:00::,an improbable and unexpected victory
defeat suddenly and unexpectedly,upset%2:33:00::,agent,upsetter%1:18:00::,an unexpected winner; someone who defeats the favorite competitor
form metals with a swage,upset%2:35:00::,instrument,upset%1:06:00::,a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
move deeply,upset%2:37:00::,event,upset%1:04:01::,the act of disturbing the mind or body
move deeply,upset%2:37:00::,event,upset%1:26:00::,an unhappy and worried mental state
cause to lose one's composure,upset%2:37:01::,event,upset%1:26:00::,an unhappy and worried mental state
cause to overturn from an upright or normal position,upset%2:38:00::,event,upset%1:04:02::,the act of upsetting something
"steal the show, draw attention to oneself away from someone else",upstage%2:33:00::,agent,upstager%1:18:00::,a selfish actor who upstages the other actors
"move upstage, forcing the other actors to turn away from the audience",upstage%2:38:00::,agent,upstager%1:18:00::,a selfish actor who upstages the other actors
make more industrial or city-like,urbanise%2:30:00::,event,urbanisation%1:22:00::,the social process whereby cities grow and societies become more urban
"impart urban habits, ways of life, or responsibilities upon",urbanise%2:30:01::,state,urbanisation%1:26:00::,the condition of being urbanized
make more industrial or city-like,urbanize%2:30:00::,event,urbanization%1:22:00::,the social process whereby cities grow and societies become more urban
"impart urban habits, ways of life, or responsibilities upon",urbanize%2:30:01::,state,urbanization%1:26:00::,the condition of being urbanized
eliminate urine,urinate%2:29:00::,event,urination%1:22:00::,the discharge of urine
eliminate urine,urinate%2:29:00::,agent,urinator%1:18:00::,a person who urinates
sting with or as with nettles and cause a stinging pain or sensation,urticate%2:39:00::,event,urtication%1:09:00::,a sensation of having been stung by nettles
put into service; make work or employ for a particular purpose or for its inherent or natural purpose,use%2:34:01::,event,use%1:04:00::,the act of using
put into service; make work or employ for a particular purpose or for its inherent or natural purpose,use%2:34:01::,agent,user%1:18:00::,a person who makes use of a thing; someone who uses or employs something
take or consume (regularly or habitually),use%2:34:02::,event,use%1:04:00::,the act of using
take or consume (regularly or habitually),use%2:34:02::,agent,user%1:18:02::,a person who takes drugs
avail oneself to,use%2:41:04::,event,usance%1:04:00::,accepted or habitual practice
avail oneself to,use%2:41:04::,undergoer,use%1:07:02::,a particular service
seek or achieve an end by using to one's advantage,use%2:41:14::,event,use%1:04:02::,exerting shrewd or devious influence especially for one's own advantage
seek or achieve an end by using to one's advantage,use%2:41:14::,agent,user%1:18:01::,a person who uses something or someone selfishly or unethically
"take (someone) to their seats, as in theaters or auditoriums",usher%2:38:00::,agent,usher%1:18:00::,someone employed to conduct others
seize and take control without authority and possibly with force; take as one's right or possession,usurp%2:40:00::,event,usurpation%1:04:00::,wrongfully seizing and holding (an office or powers) by force (especially the seizure of a throne or supreme authority)
seize and take control without authority and possibly with force; take as one's right or possession,usurp%2:40:00::,agent,usurper%1:18:00::,one who wrongfully or illegally seizes and holds the place of another
put into service; make work or employ for a particular purpose or for its inherent or natural purpose,utilise%2:34:00::,event,utilisation%1:04:00::,the act of using
put into service; make work or employ for a particular purpose or for its inherent or natural purpose,utilize%2:34:00::,event,utilization%1:04:00::,the act of using
put into service; make work or employ for a particular purpose or for its inherent or natural purpose,utilize%2:34:00::,agent,utilizer%1:18:00::,someone who puts to good use
express in speech,utter%2:32:00::,by means of,utterance%1:10:00::,the use of uttered sounds for auditory communication
express in speech,utter%2:32:00::,agent,utterer%1:18:00::,someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)
"articulate; either verbally or with a cry, shout, or noise",utter%2:32:01::,by means of,utterance%1:10:00::,the use of uttered sounds for auditory communication
"articulate; either verbally or with a cry, shout, or noise",utter%2:32:01::,agent,utterer%1:18:02::,an organism that can utter vocal sounds
express audibly; utter sounds (not necessarily words),utter%2:32:02::,by means of,utterance%1:10:00::,the use of uttered sounds for auditory communication
express audibly; utter sounds (not necessarily words),utter%2:32:02::,agent,utterer%1:18:02::,an organism that can utter vocal sounds
put into circulation,utter%2:38:00::,agent,utterer%1:18:01::,someone who circulates forged banknotes or counterfeit coins
cancel officially,vacate%2:32:00::,event,vacation%1:04:01::,the act of making something legally void
spend or take a vacation,vacation%2:42:00::,event,vacation%1:28:00::,leisure time away from work devoted to rest or pleasure
spend or take a vacation,vacation%2:42:00::,agent,vacationer%1:18:00::,someone on vacation; someone who is devoting time to pleasure or relaxation rather than to work
perform vaccinations or produce immunity in by inoculation,vaccinate%2:29:00::,event,vaccination%1:04:00::,taking a vaccine as a precaution against contracting a disease
perform vaccinations or produce immunity in by inoculation,vaccinate%2:29:00::,result,vaccination%1:26:00::,the scar left following inoculation with a vaccine
perform vaccinations or produce immunity in by inoculation,vaccinate%2:29:00::,agent,vaccinator%1:18:00::,a medical practitioner who inoculates people against diseases
move or sway in a rising and falling or wavelike pattern,vacillate%2:38:00::,event,vacillation%1:04:00::,changing location by moving back and forth
be undecided about something; waver between conflicting positions or courses of action,vacillate%2:42:00::,event,vacillation%1:09:00::,indecision in speech or action
be undecided about something; waver between conflicting positions or courses of action,vacillate%2:42:00::,agent,vacillator%1:18:00::,one who hesitates (usually out of fear)
clean with a vacuum cleaner,vacuum%2:35:00::,instrument,vacuum%1:06:00::,an electrical home appliance that cleans by suction
"move about aimlessly or without any destination, often in search of food or employment",vagabond%2:38:00::,by means of,vagabond%1:17:00::,anything that resembles a vagabond in having no fixed place
"move about aimlessly or without any destination, often in search of food or employment",vagabond%2:38:00::,agent,vagabond%1:18:01::,a wanderer who has no established residence or visible means of support
serve as a personal attendant to,valet%2:41:00::,agent,valet%1:18:00::,a manservant who acts as a personal attendant to his employer
prove valid; show or confirm the validity of something,validate%2:31:00::,event,validation%1:04:00::,the act of validating; finding or testing the truth of something
prove valid; show or confirm the validity of something,validate%2:31:00::,event,validation%1:09:00::,the cognitive process of establishing a valid proof
give evidence for,validate%2:32:00::,event,validation%1:04:00::,the act of validating; finding or testing the truth of something
give evidence for,validate%2:32:00::,event,validation%1:09:00::,the cognitive process of establishing a valid proof
"evaluate or estimate the nature, quality, ability, extent, or significance of",valuate%2:31:00::,event,valuation%1:09:00::,an appraisal of the value of something
"evaluate or estimate the nature, quality, ability, extent, or significance of",valuate%2:31:00::,agent,valuator%1:18:00::,one who estimates officially the worth or value or quality of things
"evaluate or estimate the nature, quality, ability, extent, or significance of",value%2:31:00::,uses,value%1:21:00::,the amount (of money or goods or services) that is considered to be a fair equivalent for something else
"evaluate or estimate the nature, quality, ability, extent, or significance of",value%2:31:00::,agent,valuer%1:18:00::,someone who assesses the monetary worth of possessions
regard highly; think much of,value%2:31:01::,undergoer,value%1:09:01::,an ideal accepted by some individual or group
fix or determine the value of; assign a value to,value%2:31:03::,uses,value%1:21:00::,the amount (of money or goods or services) that is considered to be a fair equivalent for something else
fix or determine the value of; assign a value to,value%2:31:03::,agent,valuer%1:18:00::,someone who assesses the monetary worth of possessions
provide (a shoe) with a new vamp,vamp%2:30:00::,uses,vamp%1:06:00::,piece of leather forming the front part of the upper of a shoe
act seductively with (someone),vamp%2:32:00::,agent,vamp%1:18:00::,a seductive woman who uses her sex appeal to exploit men
act seductively with (someone),vamp%2:32:00::,agent,vamper%1:18:00::,a seductive woman who uses her sex appeal to exploit men
"destroy wantonly, as through acts of vandalism",vandalise%2:35:00::,agent,vandal%1:18:00::,someone who willfully destroys or defaces property
"destroy wantonly, as through acts of vandalism",vandalize%2:35:00::,agent,vandal%1:18:00::,someone who willfully destroys or defaces property
"get lost, as without warning or explanation",vanish%2:30:00::,undergoer,vanisher%1:18:00::,a person who disappears
become invisible or unnoticeable,vanish%2:39:00::,agent,vanisher%1:18:00::,a person who disappears
"come out better in a competition, race, or conflict",vanquish%2:33:00::,agent,vanquisher%1:18:00::,someone who is victorious by force of arms
turn into gas,vaporise%2:30:00::,event,vapor%1:22:00::,the process of becoming a vapor
turn into gas,vaporise%2:30:00::,result,vapor%1:27:01::,a visible suspension in the air of particles of some substance
turn into gas,vaporise%2:30:00::,event,vaporisation%1:22:00::,the process of becoming a vapor
